"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment"
"70","D",3,223,1099,167,4.928,"ANF",0.62,"C76",127,972,5.82035928143713,"EXP 2"
"71","C",3,263,1446,216,5.498,"ANF",0.15,"C76",158,1288,5.96296296296296,"EXP 2"
"72","B",3,163,1142,112,7.006,"ANF",0,"C76",0,1142,10.1964285714286,"EXP 2"
"73","B",4,193,1018,134,5.275,"ANF",0,"C44",0,1018,7.59701492537313,"EXP 2"
"74","C",4,326,1543,198,4.733,"ANF",0.15,"C44",158,1385,6.99494949494949,"EXP 2"
"75","D",4,293,685,158,2.338,"ANF",0.62,"C44",127,558,3.53164556962025,"EXP 2"
"76","E",4,235,760,151,3.234,"ANF",1.2,"C44",75,685,4.5364238410596,"EXP 2"
"77","F",4,340,1167,260,3.432,"ANF",3,"C44",285,882,3.39230769230769,"EXP 2"
"78","G",4,244,581,173,2.381,"ANF",5,"C44",63,518,2.99421965317919,"EXP 2"
"79","G",5,172,331,118,1.924,"ANF",5,"C6",63,268,2.27118644067797,"EXP 2"
"80","F",5,239,1021,187,4.272,"ANF",3,"C6",285,736,3.93582887700535,"EXP 2"
"81","E",5,367,3294,318,8.975,"ANF",1.2,"C6",75,3219,10.122641509434,"EXP 2"
"82","D",5,347,2702,286,7.787,"ANF",0.62,"C6",127,2575,9.0034965034965,"EXP 2"
"83","C",5,296,5370,264,18.14,"ANF",0.15,"C6",158,5212,19.7424242424242,"EXP 2"
"84","B",5,300,6591,270,21.97,"ANF",0,"C6",0,6591,24.4111111111111,"EXP 2"
"85","B",6,386,5455,316,14.13,"ANF",0,"C58",0,5455,17.2626582278481,"EXP 2"
"86","C",6,332,1270,222,3.825,"ANF",0.15,"C58",158,1112,5.00900900900901,"EXP 2"
"87","D",6,329,1756,236,5.337,"ANF",0.62,"C58",127,1629,6.90254237288136,"EXP 2"
"88","E",6,352,1105,231,3.139,"ANF",1.2,"C58",75,1030,4.45887445887446,"EXP 2"
"89","F",6,271,402,156,1.483,"ANF",3,"C58",285,117,0.75,"EXP 2"
"90","G",6,448,661,269,1.475,"ANF",5,"C58",63,598,2.22304832713755,"EXP 2"
"91","G",7,226,167,90,0.7389,"ANF",5,"REF",63,104,1.15555555555556,"EXP 2"
"92","F",7,278,378,159,1.36,"ANF",3,"REF",285,93,0.584905660377358,"EXP 2"
"93","E",7,221,431,134,1.95,"ANF",1.2,"REF",75,356,2.65671641791045,"EXP 2"
"94","D",7,235,557,133,2.37,"ANF",0.62,"REF",127,430,3.23308270676692,"EXP 2"
"95","C",7,229,1712,163,7.476,"ANF",0.15,"REF",158,1554,9.53374233128834,"EXP 2"
"96","B",7,245,2306,186,9.412,"ANF",0,"REF",0,2306,12.3978494623656,"EXP 2"
"97","B",8,319,3439,260,10.78,"ANF",0,"C67",0,3439,13.2269230769231,"EXP 2"
"98","C",8,286,1459,219,5.101,"ANF",0.15,"C67",158,1301,5.94063926940639,"EXP 2"
"99","D",8,313,763,205,2.438,"ANF",0.62,"C67",127,636,3.10243902439024,"EXP 2"
"100","E",8,301,1047,211,3.478,"ANF",1.2,"C67",75,972,4.60663507109005,"EXP 2"
"101","F",8,242,273,131,1.128,"ANF",3,"C67",285,0,0,"EXP 2"
"102","G",8,204,131,81,0.6422,"ANF",5,"C67",63,68,0.839506172839506,"EXP 2"
"103","G",9,232,353,133,1.522,"ANF",5,"C7",63,290,2.18045112781955,"EXP 2"
"104","F",9,446,731,253,1.639,"ANF",3,"C7",285,446,1.76284584980237,"EXP 2"
"105","E",9,337,1109,247,3.291,"ANF",1.2,"C7",75,1034,4.18623481781376,"EXP 2"
